symbol,name,price,Volume,turnover,blue_daily,blue_days,latest_day_blue_value,blue_weekly,blue_weeks,latest_week_blue_value,lired_daily,lired_days,latest_day_lired_value,lired_weekly,lired_weeks,latest_week_lired_value,has_day_blue,has_week_blue,has_day_lired,has_week_lired,has_day_week_blue,has_day_week_lired,day_heima_count,week_heima_count,day_juedi_count,week_juedi_count,has_day_heima,has_week_heima,latest_cci_daily,latest_cci_weekly
600606.SH,绿地控股,1.71,665126.74,113.73667253999999,0.0,4,149.57914557319538,0.0,0,0.0,0.0,0,0,0.0,0,0,True,False,False,False,False,False,1,0,2,1,True,True,-91.66666666666696,-148.76543209876567
600657.SH,信达地产,3.84,362060.2,139.0311168,0.0,1,157.70197907331655,0.0,3,200.0,0.0,0,0,0.0,0,0,False,True,False,False,False,False,0,1,0,0,False,True,45.075757575757535,-47.27515880976251
600782.SH,新钢股份,3.88,394356.05,153.0101474,0.0,4,143.78083604724543,0.0,0,0.0,0.0,0,0,0.0,0,0,True,False,False,False,False,False,0,0,0,1,False,True,-61.65311653116515,-156.79875679875693
600845.SH,宝信软件,21.2,69668.42,147.6970504,80.34548096313273,0,0.0,200.0,3,200.0,0.0,0,0,0.0,0,0,False,True,False,False,False,False,1,0,2,2,True,True,-115.34522414616175,-206.4804469273739
600862.SH,中航高科,20.97,97472.03,204.39884690999997,0.0,0,0.0,0.0,2,200.0,0.0,0,0,0.0,0,0,False,True,False,False,False,False,1,0,1,1,True,True,-77.22856570512812,-148.05761542921653
600968.SH,海油发展,3.86,596003.0,230.05715800000002,0.0,3,127.72844895639209,0.0,1,200.0,0.0,0,0,0.0,0,0,True,False,False,False,False,False,0,0,0,1,False,True,-10.797782598216452,-76.49823736780286
601006.SH,大秦铁路,5.51,771641.14,425.17426814000004,0.0,0,0.0,0.0,4,199.04613085769665,0.0,0,0,0.0,0,0,False,True,False,False,False,False,0,0,0,1,False,True,-80.28673835125426,-130.14111522126302
601059.SH,信达证券,17.79,180121.16,320.43554364,0.0,4,161.76185293078214,0.0,0,0.0,0.0,0,0,0.0,0,0,True,False,False,False,False,False,0,0,1,1,True,True,-79.87179487179495,-211.61434744130398
601098.SH,中南传媒,11.17,101662.19,113.55666622999999,0.0,3,160.38108651405275,0.0,2,182.49015762173002,0.0,0,0,0.0,0,0,True,True,False,False,True,False,1,0,1,1,True,True,-77.15489114314533,-193.05526877279883
601669.SH,中国电建,5.27,1191491.15,627.9158360499998,145.6249915294269,4,145.6249915294269,0.0,0,0.0,0.0,0,0,0.0,0,0,True,False,False,False,False,False,0,0,1,1,True,True,-122.33259749815946,-183.27272727272668
601800.SH,中国交建,8.56,125598.27,107.51211912,0.0,1,121.37148999012275,0.0,2,200.0,0.0,0,0,0.0,0,0,False,True,False,False,False,False,0,1,0,2,False,True,-52.790346907993836,-142.1047174701909
601788.SH,光大证券,17.28,114842.38,198.44763264000002,0.0,3,172.69506577973905,0.0,0,0.0,0.0,0,0,0.0,0,0,True,False,False,False,False,False,0,0,0,1,False,True,-70.29516200621386,-164.9108516607831
