symbol,price,Volume,turnover,blue_daily,max_blue_daily,blue_days,blue_weekly,max_blue_weekly,blue_weeks,lired_daily,lired_days,lired_weekly,lired_weeks,company_name
THS,22.94,236597.0,542.7535180000001,0.0,364.66893878924185,1,0.0,240.94186799096948,4,0.0,0,0.0,0,"Treehouse Foods, Inc."
AGYS,68.6,19009.0,130.40174,0.0,0.0,0,0.0,204.94902266203454,3,0.0,0,0.0,0,"Agilysys, Inc. Common Stock (DE)"
XPRO,8.195,219416.0,179.81141200000002,0.0,0.0,0,0.0,249.85312942241328,3,0.0,0,0.0,0,Expro Group Holdings N.V.
XAIR,0.2214,11931338.0,264.15982332,0.0,0.0,0,0.0,315.38910426724135,2,0.0,0,0.0,0,"Beyond Air, Inc. Common Stock"
FIVN,21.685,254684.0,552.282254,0.0,0.0,0,0.0,350.0,2,0.0,0,0.0,0,"FIVE9, INC."
BCYC,8.14,182908.0,148.887112,0.0,0.0,0,0.0,195.79753266493182,3,0.0,0,0.0,0,Bicycle Therapeutics plc American Depositary Shares
NVG,11.47,184889.0,212.06768300000002,0.0,0.0,0,0.0,291.99725898194697,2,0.0,0,0.0,0,Nuveen AMT-Free Municipal Credit Income Fund
AA,23.91,1803003.0,4310.980173,0.0,0.0,0,0.0,224.08221843860267,2,0.0,0,0.0,0,Alcoa Corporation
ICLR,136.11,838653.0,11414.905983,175.80021982680307,175.80021982680307,2,212.3335612932718,212.3335612932718,5,0.0,0,0.0,0,Icon Plc
KRC,32.145,214445.0,689.3334525,0.0,0.0,0,0.0,251.2637799275004,2,0.0,0,0.0,0,Kilroy Realty Corp.
MHO,107.63,38199.0,411.135837,0.0,0.0,0,0.0,163.2447400528538,2,0.0,0,0.0,0,"M/I Homes, Inc."
ASB,20.485,323380.0,662.44393,0.0,0.0,0,0.0,250.0350434592163,2,0.0,0,0.0,0,Associated Banc-Corp
DRH,6.93,582288.0,403.525584,0.0,0.0,0,0.0,206.50990328445235,3,0.0,0,0.0,0,DiamondRock Hospitality Company
MAGN,13.285,123565.0,164.1561025,0.0,457.99999999999994,1,0.0,254.87414450679432,3,0.0,0,0.0,0,Magnera Corporation
RERE,2.09,716257.0,149.697713,0.0,0.0940662284685426,0,0.0,313.475127265072,2,0.0,0,0.0,0,ATRenew Inc. American Depositary Shares (every three of which representing two Class A ordinary shares)
LEVI,15.4,613942.0,945.4706800000001,0.0,0.0,0,0.0,350.0,3,0.0,0,0.0,0,Levi Strauss & Co. Class A Common Stock
CLMT,8.93,209569.0,187.145117,0.0,0.0,0,0.0,225.67779815529542,2,0.0,0,0.0,0,"Calumet, Inc. Common Stock"
OMH,2.3753,461318.0,109.57686454,207.87506419262192,207.87506419262192,1,271.21741409113713,282.06598750676847,3,-225.30197666496056,2,0.0,0,Ohmyhome Limited Ordinary Shares
NDMO,9.45,115003.0,108.67783499999999,0.0,0.0,0,0.0,204.10749466529901,2,0.0,0,0.0,0,Nuveen Dynamic Municipal Opportunities Fund Common Shares of Beneficial Interest
PFFA,20.0199,445352.0,891.5902504799999,0.0,0.0,0,0.0,253.39449432466128,2,0.0,0,0.0,0,Virtus InfraCap U.S. Preferred Stock ETF
VTEC,96.21,18780.0,180.68238,0.0,0.0,0,0.0,200.00882732699492,3,0.0,0,0.0,0,Vanguard California Tax-Exempt Bond ETF
VEU,60.7,1045763.0,6347.7814100000005,0.0,0.0,0,0.0,251.05518074507503,2,0.0,0,0.0,0,Vanguard FTSE All-World Ex-US ETF
GLDM,67.85,2820545.0,19137.397824999996,0.0,0.0,0,0.0,0.0,0,-171.91802458299622,1,-214.2273389524534,5,SPDR Gold MiniShares
XRT,66.82,2087142.0,13946.282844,0.0,0.0,0,0.0,234.12034493851354,2,0.0,0,0.0,0,SPDR S&P Retail ETF
GRNY,17.44,280437.0,489.082128,0.0,0.0,0,0.0,350.0,2,0.0,0,0.0,0,FundStrat Granny Shots US Large Cap ETF
CALF,34.2701,309409.0,1060.34773709,0.0,0.0,0,0.0,283.22704851437766,2,0.0,0,0.0,0,Pacer US Small Cap Cash Cows 100 ETF
ARLO,9.19,134603.0,123.70015699999999,0.0,0.0,0,0.0,347.219538401879,2,0.0,0,0.0,0,"Arlo Technologies, Inc."
REXR,32.005,530047.0,1696.4154235000003,0.0,0.0,0,0.0,350.0,2,0.0,0,0.0,0,"REXFORD INDUSTRIAL REALTY, INC."
NB,2.7406,543209.0,148.87185854,0.0,0.0,0,0.0,0.0,0,0.0,3,0.0,1,NioCorp Developments Ltd. Common Stock
GPC,113.85,831964.0,9471.91014,0.0,0.0,0,0.0,350.0,2,0.0,0,0.0,0,Genuine Parts Company
BIRK,47.645,281531.0,1341.3544495,0.0,0.0,0,0.0,321.177434473189,2,0.0,0,0.0,0,Birkenstock Holding plc
ROL,55.68,418209.0,2328.587712,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,2,"Rollins, Inc."
IAU,64.605,8821881.0,56993.7622005,0.0,0.0,0,0.0,0.0,0,-147.24873429190328,0,-219.1132783496231,5,iShares Gold Trust
RGNX,7.36,468569.0,344.86678400000005,0.0,0.0,0,0.0,272.75042251530385,2,0.0,0,0.0,0,REGENXBIO Inc.
VKTX,24.7549,1000048.0,2475.60882352,0.0,0.0,0,0.0,249.14982795737745,3,0.0,0,0.0,0,"Viking Therapeutics, Inc"
REPL,8.69,327173.0,284.313337,0.0,0.0,0,0.0,179.15297890333082,2,0.0,0,0.0,0,"Replimune Group, Inc."
WHD,37.36,169690.0,633.9618399999999,0.0,0.0,0,0.0,211.57910447926668,2,0.0,0,0.0,0,"Cactus, Inc."
INTW,15.97,149468.0,238.70039599999998,0.0,0.0,0,0.0,350.0,2,0.0,0,0.0,0,GraniteShares 2x Long INTC Daily ETF
SCL,48.0,43631.0,209.4288,0.0,0.0,0,0.0,204.95654673377436,3,0.0,0,0.0,0,Stepan Co.
